Category,Department + Course Number,Distributions
CA,ASIAN 2218,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ASIAN 2225,"['CA-AS', 'GLC-AS', 'HST-AS']"
CA,ASIAN 2231,"['CA-AS', 'HST-AS']"
CA,ASIAN 2252,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASIAN 2254,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,ASIAN 2256,"['CA-AS', 'ALC-AS']"
CA,ASIAN 2259,"['ALC-AS', 'CA-AS']"
CA,ASIAN 2260,"['ALC-AS', 'CA-AS']"
CA,ASIAN 2269,"['CA-AS', 'ALC-AS']"
CA,ASIAN 2285,"['ALC-AS', 'CA-AS']"
CA,ASIAN 2299,"['CA-AS', 'GLC-AS', 'HST-AS']"
CA,ASIAN 3309,"['CA-AS', 'GLC-AS']"
CA,ASIAN 3311,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASIAN 3327,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,ASIAN 3341,"['ALC-AS', 'CA-AS']"
CA,ASIAN 3350,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ASIAN 3351,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ASIAN 3365,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,ASIAN 3370,"['ALC-AS', 'CA-AS']"
CA,ASIAN 3375,"['CA-AS', 'ALC-AS']"
CA,ASIAN 3376,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASIAN 3382,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ASIAN 3386,"['CA-AS', 'SCD-AS']"
CA,ASIAN 3395,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,ASIAN 4406,"['CA-AS', 'ALC-AS']"
CA,ASIAN 4413,"['CA-AS', 'SCD-AS']"
CA,ASIAN 4423,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ASIAN 4424,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASIAN 4435,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASIAN 4442,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ASIAN 4447,"['CA-AS', 'ALC-AS']"
CA,ASIAN 4450,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ASIAN 4452,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ASIAN 4455,"['CA-AS', 'ALC-AS']"
CA,ASIAN 4456,['CA-AS']
CA,ASIAN 4462,"['CA-AS', 'GLC-AS', 'HST-AS']"
CA,ASIAN 4480,"['CA-AS', 'GLC-AS']"
CA,ASIAN 4487,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ASIAN 4499,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ASL 3215,"['CA-AS', 'ALC-AS']"
CA,ASRC 1203,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASRC 1330,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASRC 1500,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,ASRC 2105,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASRC 2200,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASRC 2212,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASRC 2235,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASRC 2240,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ASRC 2260,"['ALC-AS', 'CA-AS']"
CA,ASRC 2350,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,ASRC 2370,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,ASRC 2560,"['CA-AS', 'SCD-AS']"
CA,ASRC 2650,"['ALC-AS', 'CA-AS']"
CA,ASRC 2770,"['CA-AS', 'SCD-AS']"
CA,ASRC 3100,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASRC 3101,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASRC 3434,"['CA-AS', 'ALC-AS']"
CA,ASRC 3440,"['CA-AS', 'ALC-AS']"
CA,ASRC 3470,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ASRC 3480,['CA-AS']
CA,ASRC 3565,"['CA-AS', 'ALC-AS']"
CA,ASRC 3570,"['CA-AS', 'SCD-AS']"
CA,ASRC 3734,"['CA-AS', 'ALC-AS']"
CA,ASRC 3742,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ASRC 4560,"['ALC-AS', 'CA-AS', 'SCD-AS']"
CA,ASRC 4655,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,ASRC 4678,"['CA-AS', 'SCD-AS']"
CA,ASRC 4682,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,ASRC 4721,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,ASRC 4733,"['CA-AS', 'SCD-AS']"
CA,BIONB 3215,"['CA-AG', 'D-AG', 'OPHLS-AG', 'PBS-AS']"
CA,BSOC 2131,"['ALC-AS', 'CA-AS']"
CA,BSOC 2420,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,BSOC 2468,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,BSOC 3230,"['CA-AS', 'GLC-AS']"
CA,BSOC 3460,['CA-AS']
CA,BSOC 4227,"['CA-AS', 'SCD-AS']"
CA,BSOC 4351,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,BSOC 4413,"['CA-AS', 'SCD-AS', 'SSC-AS']"
CA,BSOC 4650,"['CA-AS', 'ETM-AS']"
CA,BSOC 4682,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,CAPS 2231,"['CA-AS', 'HST-AS']"
CA,CAPS 3370,"['ALC-AS', 'CA-AS']"
CA,CAPS 3827,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,CAPS 3967,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,CAPS 4001,['CA-AS']
CA,CAPS 4030,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,CLASS 1451,"['CA-AS', 'ALC-AS']"
CA,CLASS 1704,"['CA-AS', 'ALC-AS']"
CA,CLASS 2010,"['CA-AS', 'ALC-AS']"
CA,CLASS 2601,"['ALC-AS', 'CA-AS']"
CA,CLASS 2630,"['CA-AS', 'HST-AS']"
